Code;Bezeichnung
35405R;Tiefenpsychologische Psychotherapie (LZT, Einzelbehandlung) 
35405U;Tiefenpsychologische Psychotherapie (LZT, Einzelbehandlung) 
35405Y;Tiefenpsychologische Psychotherapie (LZT, Einzelbehandlung) 
35405Z;Tiefenpsychologische Psychotherapie (LZT, Einzelbehandlung) 
35415R;Analytische Psychotherapie (LZT, Einzelbehandlung) 
35415U;Analytische Psychotherapie (LZT, Einzelbehandlung) 
35415Y;Analytische Psychotherapie (LZT, Einzelbehandlung) 
35415Z;Analytische Psychotherapie (LZT, Einzelbehandlung) 
35425R;Verhaltenstherapie (LZT, Einzelbehandlung) 
35425U;Verhaltenstherapie (LZT, Einzelbehandlung) 
35425Y;Verhaltenstherapie (LZT, Einzelbehandlung) 
35425Z;Verhaltenstherapie (LZT, Einzelbehandlung) 
35435R;Systemische Therapie (LZT, Einzelbehandlung) 
35435U;Systemische Therapie (LZT, Einzelbehandlung) 
35435Y;Systemische Therapie (LZT, Einzelbehandlung) 
35435Z;Systemische Therapie (LZT, Einzelbehandlung) 
35513R;Tiefenpsychologische Psychotherapie (LZT), 3 TN 
35513U;Tiefenpsychologische Psychotherapie (LZT), 3 TN 
35513X;Tiefenpsychologische Psychotherapie (LZT), 3 TN 
35513Y;Tiefenpsychologische Psychotherapie (LZT), 3 TN 
35514R;Tiefenpsychologische Psychotherapie (LZT), 4 TN 
35514U;Tiefenpsychologische Psychotherapie (LZT), 4 TN 
35514X;Tiefenpsychologische Psychotherapie (LZT), 4 TN 
35514Y;Tiefenpsychologische Psychotherapie (LZT), 4 TN 
35515R;Tiefenpsychologische Psychotherapie (LZT), 5 TN 
35515U;Tiefenpsychologische Psychotherapie (LZT), 5 TN 
35515X;Tiefenpsychologische Psychotherapie (LZT), 5 TN 
35515Y;Tiefenpsychologische Psychotherapie (LZT), 5 TN 
35516R;Tiefenpsychologische Psychotherapie (LZT), 6 TN 
35516U;Tiefenpsychologische Psychotherapie (LZT), 6 TN 
35516X;Tiefenpsychologische Psychotherapie (LZT), 6 TN 
35516Y;Tiefenpsychologische Psychotherapie (LZT), 6 TN 
35517R;Tiefenpsychologische Psychotherapie (LZT), 7 TN 
35517U;Tiefenpsychologische Psychotherapie (LZT), 7 TN 
35517X;Tiefenpsychologische Psychotherapie (LZT), 7 TN 
35517Y;Tiefenpsychologische Psychotherapie (LZT), 7 TN 
35518R;Tiefenpsychologische Psychotherapie (LZT), 8 TN 
35518U;Tiefenpsychologische Psychotherapie (LZT), 8 TN 
35518X;Tiefenpsychologische Psychotherapie (LZT), 8 TN 
35518Y;Tiefenpsychologische Psychotherapie (LZT), 8 TN 
