UKV;Bezeichnung;OKV;Bezeichnung
01;Schleswig-Holstein;01;Schleswig-Holstein
02;Hamburg;02;Hamburg
03;Bremen;03;Bremen
06;Aurich;17;Niedersachsen
07;Braunschweig;17;Niedersachsen
08;Göttingen;17;Niedersachsen
09;Hannover;17;Niedersachsen
10;Hildesheim;17;Niedersachsen
11;Lüneburg;17;Niedersachsen
12;Oldenburg;17;Niedersachsen
13;Osnabrück;17;Niedersachsen
14;Stade;17;Niedersachsen
15;Verden;17;Niedersachsen
16;Wilhelmshaven;17;Niedersachsen
17;Niedersachsen;17;Niedersachsen
18;Dortmund;20;Westfalen-Lippe
19;Münster;20;Westfalen-Lippe
20;Westfalen-Lippe;20;Westfalen-Lippe
21;Aachen;38;Nordrhein
24;Düsseldorf;38;Nordrhein
25;Duisburg;38;Nordrhein
27;Köln;38;Nordrhein
28;Linker Niederrhein;38;Nordrhein
31;Ruhr;38;Nordrhein
37;Bergisch-Land;38;Nordrhein
38;Nordrhein;38;Nordrhein
39;Darmstadt;46;Hessen
40;Frankfurt;46;Hessen
41;Gießen;46;Hessen
42;Kassel;46;Hessen
43;Limburg;46;Hessen
44;Marburg;46;Hessen
45;Wiesbaden;46;Hessen
46;Hessen;46;Hessen
47;Koblenz;51;Rheinland-Pfalz
48;Rheinhessen;51;Rheinland-Pfalz
49;Pfalz;51;Rheinland-Pfalz
50;Trier;51;Rheinland-Pfalz
51;Rheinland-Pfalz;51;Rheinland-Pfalz
52;Baden-Württemberg;52;Baden-Württemberg
53;Mannheim;52;Baden-Württemberg
54;Pforzheim;52;Baden-Württemberg
55;Karlsruhe;52;Baden-Württemberg
56;Baden-Baden;52;Baden-Württemberg
57;Freiburg;52;Baden-Württemberg
58;Konstanz;52;Baden-Württemberg
59;Offenburg;52;Baden-Württemberg
60;Freiburg;52;Baden-Württemberg
61;Stuttgart;52;Baden-Württemberg
62;Reutlingen;52;Baden-Württemberg
63;München;71;Bayern
64;Oberbayern;71;Bayern
65;Oberfranken;71;Bayern
66;Mittelfranken;71;Bayern
67;Unterfranken;71;Bayern
68;Oberpfalz;71;Bayern
69;Niederbayern;71;Bayern
70;Schwaben;71;Bayern
71;Bayern;71;Bayern
72;Berlin;72;Berlin
73;Saarland;73;Saarland
78;Mecklenburg-Vorpommern;78;Mecklenburg-Vorpommern
79;Potsdam;83;Brandenburg
80;Cottbus;83;Brandenburg
81;Frankfurt;83;Brandenburg
83;Brandenburg;83;Brandenburg
85;Magdeburg;88;Sachsen-Anhalt
86;Halle;88;Sachsen-Anhalt
87;Dessau;88;Sachsen-Anhalt
88;Sachsen-Anhalt;88;Sachsen-Anhalt
89;Erfurt;93;Thüringen
90;Gera;93;Thüringen
91;Suhl;93;Thüringen
93;Thüringen;93;Thüringen
94;Chemnitz;98;Sachsen
95;Dresden;98;Sachsen
96;Leipzig;98;Sachsen
98;Sachsen;98;Sachsen
