### sheet: Gesamt20252
Id,Praxissoftware,Anbieter,%Anteil 2.Q.2025,Installationen 2.Q.2025,Installationen 1.Q.2025,Differenz,Differenz in % zum 1.Q.2025
457,tomedo,Zollsoft GmbH,3.3000000000000002E-2,3883,3628,255,7.0000000000000007E-2
462,medatixx,medatixx GmbH & Co. KG,4.5999999999999999E-2,5493,5267,226,4.2999999999999997E-2
210,Medical Office,INDAMED EDV-Entwicklung und Vertrieb GmbH,4.8000000000000001E-2,5648,5484,164,0.03
498,T2med,T2med GmbH & Co. KG,3.1E-2,3662,3528,134,3.7999999999999999E-2
406,esQlab.online,IQVIA Commercial GmbH & Co OHG,6.0000000000000001E-3,752,656,96,0.14599999999999999
295,Epikur,Epikur Software GmbH & Co. KG,0.05,5929,5840,89,1.4999999999999999E-2
299,SMARTY,New Media Company GmbH & Co. KG,4.1000000000000002E-2,4891,4829,62,1.2999999999999999E-2
626,RED Medical,RED Medical Systems GmbH,2E-3,212,166,46,0.27700000000000002
208,NEXUS / KIS,NEXUS AG,3.0000000000000001E-3,380,355,25,7.0999999999999994E-2
456,RED medical classic,RED Medical Systems GmbH,4.0000000000000001E-3,488,476,12,2.5000000000000001E-2
403,FIDUS,FIDUS Software Entwicklungs-GmbH,4.0000000000000001E-3,527,518,9,1.7000000000000001E-2
422,ClinicCentre Billing (OPD),Mesalvo Mannheim GmbH,2E-3,287,278,9,3.2000000000000001E-2
256,medavis RIS,medavis GmbH,2E-3,256,247,9,3.5999999999999997E-2
254,ORBIS®,Dedalus HealthCare GmbH,3.5000000000000003E-2,4091,4084,7,2E-3
488,inSuite,Doc Cirrus GmbH,6.0000000000000001E-3,696,689,7,0.01
253,PsychoDat,ergosoft GmbH,1.4999999999999999E-2,1735,1729,6,3.0000000000000001E-3
262,DS-WIN-PLUS (DS-WIN-MED),DAMPSOFT GmbH,1E-3,91,86,5,5.8000000000000003E-2
308,RescuePro,RescuePro Production GmbH & Co. KG,2E-3,183,179,4,2.1999999999999999E-2
451,ifa|NX-NEXT Generation AIS,ifa systems AG,0,22,18,4,0.223
385,CLASSY RT,KHP Kelm & Homberg Produktionsgesellschaft GmbH & Co.KG,0,31,27,4,0.14799999999999999
263,Clinisys vianova Labor,Clinisys Deutschland GmbH,0,18,14,4,0.28699999999999998
226,CGM MEDICO,CGM Clinical Europe GmbH,1.0999999999999999E-2,1349,1346,3,2E-3
400,IFA-AUGENARZT,ifa systems AG,3.0000000000000001E-3,402,399,3,8.0000000000000002E-3
475,Pegasus Software für Pathologie und Zytologie,Pegasus Datensysteme,0,42,39,3,7.6999999999999999E-2
702,Co-Fox Pathologie (LIMS),Co-Fox GmbH,0,19,16,3,0.187
740,LabCentre,Mesalvo Mannheim GmbH,0,14,11,3,0.27400000000000002
446,WIN-RADIOLOG,medigration GmbH,1E-3,74,72,2,2.7E-2
421,EVIDENT,EVIDENT GmbH,6.0000000000000001E-3,720,718,2,3.0000000000000001E-3
643,smartLIS Laborinformationssystem Abrechnungsmodul,labdock GmbH,0,4,2,2,>100%
716,Melos-Labor-System,LABLIONS software & solutions GmbH,0,37,35,2,6.3E-2
561,EISHISTO,"EI Systems, Andreas Eicker",0,3,2,1,0.5
729,GLIMS,Clinisys Deutschland GmbH,0,19,18,1,5.8000000000000003E-2
493,LX,labsolution S.à.r.l & Co.KG,0,25,24,1,4.1000000000000002E-2
195,J-MED,"Haase, Dipl.-Ing. Silvia GbR",0,32,31,1,3.3000000000000002E-2
395,LIS++,"4labs software gmbh, c/o MVZ Dr. Klein Dr. Schmitt & Partner",0,4,3,1,0.33100000000000002
616,Doctorly,Doctorly GmbH,1E-3,91,90,1,1.0999999999999999E-2
