### sheet: Gesamt20253
Id,Praxissoftware,Anbieter,%Anteil 3.Q.2025,Installationen 3.Q.2025,Installationen 2.Q.2025,Differenz,Differenz in % zum 2.Q.2025
457,tomedo,Zollsoft GmbH,"3,6%",4.219,3.883,336,"8,7%"
462,medatixx,medatixx GmbH & Co. KG,"4,9%",5.808,5.493,315,"5,7%"
498,T2med,T2med GmbH & Co. KG,"3,3%",3.880,3.662,218,"6,0%"
626,RED Medical,RED Medical Systems GmbH,"0,2%",263,212,51,"24,1%"
295,Epikur,Epikur Software GmbH & Co. KG,"5,1%",5.974,5.929,45,"0,8%"
299,SMARTY,New Media Company GmbH & Co. KG,"4,2%",4.915,4.891,24,"0,5%"
086,DURIA,Duria eG,"1,8%",2.083,2.062,21,"1,0%"
298,Elefant,HASOMED GmbH,"9,4%",11.007,10.990,17,"0,2%"
136,InterARZT,InterData Praxiscomputer GmbH,"0,3%",361,353,8,"2,3%"
083,PegaMed,PEGA Elektronik GmbH,"0,9%",1.008,1.000,8,"0,8%"
488,inSuite,Doc Cirrus GmbH,"0,6%",704,696,8,"1,1%"
487,NEXUS RIS,NEXUS / CHILI GmbH,"0,0%",35,28,7,"24,8%"
721,David,Medat Computersysteme GmbH,"0,0%",45,41,4,"10,0%"
034,medibit,Examion GmbH,"0,1%",73,69,4,"5,8%"
456,RED medical classic,RED Medical Systems GmbH,"0,4%",492,488,4,"0,8%"
637,Xplore RIS,EDL Software Deutschland GmbH,"0,0%",24,20,4,"19,9%"
706,MOLIS,CGM LAB International GmbH,"0,1%",67,64,3,"4,7%"
290,M-KIS,Meierhofer AG,"0,3%",343,341,2,"0,6%"
308,RescuePro,RescuePro Production GmbH & Co. KG,"0,2%",185,183,2,"1,1%"
385,CLASSY RT,KHP Kelm & Homberg Produktionsgesellschaft GmbH & Co.KG,"0,0%",33,31,2,"6,4%"
192,MEDICUS,MEDNET Service für Ärzte AG,"0,0%",29,27,2,"7,5%"
702,Co-Fox Pathologie (LIMS),Co-Fox GmbH,"0,0%",21,19,2,"10,4%"
256,medavis RIS,medavis GmbH,"0,2%",258,256,2,"0,8%"
609,GenLAB8,projodis GmbH,"0,0%",7,5,2,"40,9%"
062,EVA,Abasoft EDV-Programme GmbH,"0,4%",456,454,2,"0,4%"
409,i/med Billing,Dorner GmbH & Co. KG,"0,0%",27,25,2,"8,0%"
276,RadCentre Billing (OPD),Mesalvo Mannheim GmbH,"0,1%",94,93,1,"1,1%"
087,MEDIPX,MEDITEC Medizinische Datentechnologie GmbH,"0,0%",4,3,1,"32,6%"
446,WIN-RADIOLOG,medigration GmbH,"0,1%",75,74,1,"1,5%"
551,PDV-FR,Universitätsklinikum Freiburg AdöR,"0,0%",27,26,1,"3,8%"
642,DynaMed,IMA-Systems Information-Technology ZLN der NEXTCLINICS Austria GmbH,"0,0%",5,4,1,"25,1%"
031,APRIS,APRIS Praxiscomputer GmbH,"0,1%",140,139,1,"0,7%"
