Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
01210V;Notfallpauschale I ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
01212V;Notfallpauschale II ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,9;Prüfzeit der Basis-GOP x Faktor 0,9
01320G;Grundpauschale I für ermächtigte Ärzte, Institute und Krankenhäuser ;K38;Kennzeichnung von anästhesiologischen Leistungen bei zahnärztlicher Behandlung gemäß § 87b Abs. 2 Satz 5 SGB V in Fällen der Leistungsberechnung entsprechend 2.1.6 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
01320H;Grundpauschale I für ermächtigte Ärzte, Institute und Krankenhäuser ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
01320V;Grundpauschale I für ermächtigte Ärzte, Institute und Krankenhäuser ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;Prüfzeit der Basis-GOP x Faktor 0,8
01320Z;Grundpauschale I für ermächtigte Ärzte, Institute und Krankenhäuser ;K36;Kennzeichnung von anästhesiologischen Leistungen bei zahnärztlicher Behandlung gemäß § 87b Abs. 2 Satz 5 SGB V;;;
01321H;Grundpauschale II für ermächtigte Ärzte, Institute und Krankenhäuser ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
01321V;Grundpauschale II für ermächtigte Ärzte, Institute und Krankenhäuser ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;Prüfzeit der Basis-GOP x Faktor 0,8
01322A;Zuschlag TSS-Terminvermittlung ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
01322B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
